Date,Date,Close,daily_risk_free_rate,new_rfr,signal,margin,margin_high_rfr,position,cash,cash_with_high_rfr,bank_account,bank_account_with_high_rfr,excess_return,theta,pnl,pnl_capital,pnl_total,cumulative_pnl,cumulative_pnl_capital,cumulative_pnl_total,turn_over_theta,cumulative_turn_over_theta,turn_over_units,Upper_bound,Lower_bound,pnl_150,pnl_capital_150,pnl_total_150,cumulative_pnl_150,cumulative_pnl_capital_150,cumulative_pnl_total_150
2016-07-26,2016-07-26,39.955002,1.5873015873015872e-05,2.3809523809523807e-05,0,883196.4395443253,872137.9389498387,-210977.76505965603,7377877.027739902,7366870.071411286,6494680.588195576,6494732.132461446,-0.0017551461328892955,-8429617.024914086,14635.718453530106,103.08853174094111,14738.806985271163,683196.4395443253,6494680.588195576,7177877.027739902,14769.287465235218,554442748.6065353,0.0,8831964.395443253,-8831964.395443253,14568.933947677258,103.08934989012778,14672.023297567852,672137.9389498387,6494732.132461446,7166870.071411286
2016-07-27,2016-07-27,40.41,1.5873015873015872e-05,2.3809523809523807e-05,0,979057.097246098,967931.6949291915,-210977.76505965603,7473840.775609741,7462766.918376868,6494783.678363643,6494835.223447676,-0.011387760661355897,-8525611.4860607,95860.65770177264,103.0901680663228,95963.74786983896,779057.097246098,6494783.678363643,7273840.775609741,95994.46114661358,554538743.0676819,0.0,9790570.97246098,-9790570.97246098,95793.75597935275,103.09098622947931,95896.84696558211,767931.6949291915,6494835.223447676,7262766.918376868
2016-07-28,2016-07-28,40.345001,1.5873015873015872e-05,2.3809523809523807e-05,0,965208.4263285415,954015.3604284122,-210977.76505965603,7460095.196496603,7448953.676498683,6494886.770168061,6494938.316070271,0.0016084879980201225,-8511898.142309587,-13848.670917556505,103.09180441871285,-13745.579113137908,765208.4263285415,6494886.770168061,7260095.196496603,13713.343751112,554552456.411433,0.0,9652084.263285415,-9652084.263285415,-13916.334500779281,103.09262259490788,-13813.24187818449,754015.3604284122,6494938.316070271,7248953.676498683
2016-07-29,2016-07-29,40.639999,1.1904761904761903e-05,1.7857142857142855e-05,0,1027345.112944868,1016101.3809843678,-210977.76505965603,7522309.203193527,7511104.131273325,6494964.090248658,6495002.750288957,-0.007311884810710492,-8574136.161046656,62136.686616326566,77.32008059695363,62214.006696923636,827345.112944868,6494964.090248658,7322309.203193527,62238.0187370684,554614694.43017,0.0,10273451.12944868,-10273451.12944868,62086.02055595559,64.43421868607402,62150.45477464143,816101.3809843678,6495002.750288957,7311104.131273325
2016-08-01,2016-08-01,40.189999,1.5873015873015872e-05,2.3809523809523807e-05,0,932269.0212686405,920957.2406084494,-210977.76505965603,7427336.206185398,7416075.972859256,6495067.184916757,6495118.732250807,0.01107283491813085,-8479196.16676981,-95076.09167622752,103.09466809872538,-94972.99700812902,732269.0212686405,6495067.184916757,7227336.206185398,94939.99427684583,554709634.424447,0.0,9322690.212686405,-9322690.212686405,-95144.14037591836,115.98196185007691,-95028.15841406863,720957.2406084494,6495118.732250807,7216075.972859256
2016-08-02,2016-08-02,39.794998,1.5873015873015872e-05,2.3809523809523807e-05,0,848798.0026769657,837418.9268091018,-210977.76505965603,7343968.283898246,7332640.756182643,6495170.28122128,6495221.82937354,0.009828340627726828,-8395859.738593481,-83471.01859167486,103.09630452282727,-83367.92228715215,648798.0026769657,6495170.28122128,7143968.283898246,83336.42817632854,554792970.8526232,0.0,8487980.026769657,-8487980.026769657,-83538.31379934761,103.09712273348123,-83435.21667661332,637418.9268091018,6495221.82937354,7132640.756182643
2016-08-03,2016-08-03,39.825001,1.5873015873015872e-05,2.3809523809523807e-05,0,854994.7009471523,843548.9912718394,-210977.76505965603,7350268.080109404,7338873.919404577,6495273.379162252,6495324.928132738,-0.0007539389749435511,-8402189.704478566,6196.6982701866655,103.09794097207487,6299.796211158857,654994.7009471523,6495273.379162252,7150268.080109404,6329.965885084122,554799300.8185083,0.0,8549947.009471523,-8549947.009471523,6130.0644627375295,103.09875919762999,6233.16322193481,643548.9912718394,6495324.928132738,7138873.919404577
2016-08-04,2016-08-04,40.09,1.5873015873015872e-05,2.3809523809523807e-05,0,910770.2296196495,899257.8358990629,-210977.76505965603,7406146.708359349,7394685.864427485,6495376.478739699,6495428.028528422,-0.0066540864619188105,-8458098.601241611,55775.52867249714,103.0995774473995,55878.62824994419,710770.2296196495,6495376.478739699,7206146.708359349,55908.89676304534,554855209.7152714,0.0,9107702.296196494,-9107702.296196494,55708.84462722356,103.10039568413049,55811.94502290711,699257.8358990629,6495428.028528422,7194685.864427485
2016-08-05,2016-08-05,39.66,1.5873015873015872e-05,2.3809523809523807e-05,0,819915.5351106429,808336.0136233799,-210977.76505965603,7315395.11506429,7303867.144184002,6495479.579953647,6495531.130560622,0.010725866799700843,-8367378.162265957,-90854.69450900657,103.10121394786984,-90751.59329505824,619915.5351106429,6495479.579953647,7115395.11506429,90720.43897565361,554945930.154247,0.0,8199155.3511064295,-8199155.3511064295,-90921.82227568305,103.10203219950199,-90818.72024348285,608336.0136233799,6495531.130560622,7103867.144184002
2016-08-08,2016-08-08,39.73,1.5873015873015872e-05,2.3809523809523807e-05,0,834231.6516740948,822587.1721763674,-206371.8940625832,7329814.334478217,7318221.406405728,6495582.682804123,6495634.234229361,-0.0017650025214321807,-8199155.3511064295,14316.116563451942,103.10285047534853,14419.219413926825,634231.6516740948,6495582.682804123,7129814.334478217,168222.81115952786,555114152.9654065,4605.870997072838,8342316.516740948,-8342316.516740948,14251.158552987501,103.10366873908788,14354.262221726589,622587.1721763674,6495634.234229361,7118221.406405728
2016-08-09,2016-08-09,40.099998,1.5873015873015872e-05,2.3809523809523807e-05,0,910458.6944104296,898749.1422511854,-206371.8940625832,7406144.481701581,7394486.481785851,6495685.7872911515,6495737.339534665,-0.009312811477473006,-8275512.539165798,76227.04273633473,103.10448702890426,76330.14722336363,710458.6944104296,6495685.7872911515,7206144.481701581,76357.18805936817,555190510.1534659,0.0,9104586.944104295,-9104586.944104295,76161.970074818,103.1053053047508,76265.07538012229,698749.1422511854,6495737.339534665,7194486.481785851
2016-08-10,2016-08-10,40.279999,1.5873015873015872e-05,2.3809523809523807e-05,0,947474.4843716965,935699.2535415066,-206371.8940625832,7443263.377786456,7431539.70001807,6495788.893414759,6495840.446476563,-0.004488803216399093,-8312659.686468956,37015.78996126691,103.1061236076057,37118.89608487487,747474.4843716965,6495788.893414759,7243263.377786456,37147.14730315842,555227657.300769,0.0,9474744.843716964,-9474744.843716964,36950.11129032122,103.10694189742208,37053.21823221911,735699.2535415066,6495840.446476563,7231539.70001807
