Date,Today Price,Date
2016-06-02,37.84,2016-06-02
2016-06-03,38.349998,2016-06-03
2016-06-06,38.099998,2016-06-06
2016-06-07,38.209999,2016-06-07
2016-06-08,38.369999,2016-06-08
2016-06-09,38.619999,2016-06-09
2016-06-10,38.775002,2016-06-10
2016-06-13,38.970001,2016-06-13
2016-06-14,38.950001,2016-06-14
2016-06-15,39.09,2016-06-15
2016-06-16,39.294998,2016-06-16
2016-06-17,39.035,2016-06-17
2016-06-20,38.654999,2016-06-20
2016-06-21,38.5,2016-06-21
2016-06-22,38.529999,2016-06-22
2016-06-23,38.154999,2016-06-23
2016-06-24,39.095001,2016-06-24
2016-06-27,40.060001,2016-06-27
2016-06-28,40.105,2016-06-28
2016-06-29,39.825001,2016-06-29
2016-06-30,39.91,2016-06-30
2016-07-01,40.43,2016-07-01
2016-07-05,40.849998,2016-07-05
2016-07-06,40.959999,2016-07-06
2016-07-07,40.950001,2016-07-07
2016-07-08,41.185001,2016-07-08
2016-07-11,40.869999,2016-07-11
2016-07-12,40.294998,2016-07-12
2016-07-13,40.674999,2016-07-13
2016-07-14,40.145,2016-07-14
2016-07-15,39.82,2016-07-15
2016-07-18,39.764999,2016-07-18
2016-07-19,40.0,2016-07-19
2016-07-20,39.790001,2016-07-20
2016-07-21,39.830002,2016-07-21
2016-07-22,39.924999,2016-07-22
2016-07-25,39.884998,2016-07-25
2016-07-26,39.955002,2016-07-26
2016-07-27,40.41,2016-07-27
2016-07-28,40.345001,2016-07-28
2016-07-29,40.639999,2016-07-29
2016-08-01,40.189999,2016-08-01
2016-08-02,39.794998,2016-08-02
2016-08-03,39.825001,2016-08-03
2016-08-04,40.09,2016-08-04
2016-08-05,39.66,2016-08-05
2016-08-08,39.73,2016-08-08
2016-08-09,40.099998,2016-08-09
2016-08-10,40.279999,2016-08-10
2016-08-11,39.895,2016-08-11
2016-08-12,40.240002,2016-08-12
2016-08-15,39.875,2016-08-15
2016-08-16,39.759998,2016-08-16
2016-08-17,39.990002,2016-08-17
2016-08-18,40.060001,2016-08-18
2016-08-19,39.855,2016-08-19
2016-08-22,40.16,2016-08-22
2016-08-23,40.235001,2016-08-23
2016-08-24,40.110001,2016-08-24
2016-08-25,39.950001,2016-08-25
2016-08-26,39.755001,2016-08-26
2016-08-29,40.244999,2016-08-29
2016-08-30,40.105,2016-08-30
2016-08-31,40.145,2016-08-31
2016-09-01,40.115002,2016-09-01
2016-09-02,39.794998,2016-09-02
2016-09-06,40.095001,2016-09-06
2016-09-07,40.099998,2016-09-07
2016-09-08,39.605,2016-09-08
2016-09-09,38.974998,2016-09-09
2016-09-12,38.990002,2016-09-12
2016-09-13,38.59,2016-09-13
2016-09-14,38.700001,2016-09-14
2016-09-15,38.5,2016-09-15
2016-09-16,38.755001,2016-09-16
2016-09-19,38.639999,2016-09-19
2016-09-20,38.755001,2016-09-20
2016-09-21,39.075001,2016-09-21
2016-09-22,39.369999,2016-09-22
2016-09-23,39.330002,2016-09-23
2016-09-26,39.535,2016-09-26
2016-09-27,39.830002,2016-09-27
2016-09-28,39.759998,2016-09-28
2016-09-29,39.849998,2016-09-29
2016-09-30,39.529999,2016-09-30
2016-10-03,39.32,2016-10-03
2016-10-04,38.915001,2016-10-04
2016-10-05,38.73,2016-10-05
2016-10-06,38.505001,2016-10-06
2016-10-07,38.529999,2016-10-07
2016-10-10,38.314999,2016-10-10
2016-10-11,38.240002,2016-10-11
2016-10-12,38.259998,2016-10-12
2016-10-13,38.400002,2016-10-13
2016-10-14,37.91,2016-10-14
2016-10-17,38.145,2016-10-17
2016-10-18,38.25,2016-10-18
2016-10-19,38.275002,2016-10-19
2016-10-20,38.334999,2016-10-20
2016-10-21,38.415001,2016-10-21
2016-10-24,38.224998,2016-10-24
2016-10-25,38.294998,2016-10-25
2016-10-26,38.060001,2016-10-26
2016-10-27,37.674999,2016-10-27
2016-10-28,37.59,2016-10-28
2016-10-31,37.794998,2016-10-31
2016-11-01,37.740002,2016-11-01
2016-11-02,37.884998,2016-11-02
2016-11-03,37.66,2016-11-03
2016-11-04,37.93,2016-11-04
2016-11-07,37.619999,2016-11-07
2016-11-08,37.439999,2016-11-08
2016-11-09,35.950001,2016-11-09
2016-11-10,35.465,2016-11-10
2016-11-11,35.290001,2016-11-11
2016-11-14,35.055,2016-11-14
2016-11-15,35.200001,2016-11-15
2016-11-16,35.544998,2016-11-16
2016-11-17,35.055,2016-11-17
2016-11-18,34.93,2016-11-18
2016-11-21,34.974998,2016-11-21
2016-11-22,34.985001,2016-11-22
2016-11-23,34.84,2016-11-23
2016-11-25,34.875,2016-11-25
2016-11-28,35.145,2016-11-28
2016-11-29,35.259998,2016-11-29
2016-11-30,34.740002,2016-11-30
2016-12-01,34.375,2016-12-01
2016-12-02,34.535,2016-12-02
2016-12-05,34.549999,2016-12-05
2016-12-06,34.535,2016-12-06
2016-12-07,34.805,2016-12-07
2016-12-08,34.395,2016-12-08
2016-12-09,34.09,2016-12-09
2016-12-12,34.02,2016-12-12
2016-12-13,34.18,2016-12-13
2016-12-14,33.834999,2016-12-14
2016-12-15,33.945,2016-12-15
